id_stasiun,nama,kota,provinsi,p3e,waktu,time_z,lat,lon,tipe_text,is_maintenance,t_pm25,a_pm25,c_pm25,t_pm10,a_pm10,t_so2,t_co,t_o3,t_no2,waktu_utc,pm25_ugm3,sumber_label,i,j,cell_id,diambil_utc
KABUPATEN_MURUNG_RAYA,Kabupaten Murung Raya,Kabupaten Murung Raya,Kalimantan Tengah,Kalimantan,2026-08-03 00:00:00,WIB,-0.6390770077705383,114.53700256347656,KLH/BPLH,0,69.0,30.57,2.0,75.0,48.37,7.0,3.0,7.0,52.0,2026-08-02 17:00:00,30.57,ISPU-langsung,468,248,46800248,2026-08-02 17:05:51
KABUPATEN_MUSI_BANYUASIN,Kabupaten Musi Banyuasin Serasan Jaya,Kabupaten Musi Banyuasin,Sematera Selatan,Sumatera,2026-08-03 00:00:00,WIB,-2.8742001056671143,103.83699798583984,KLH/BPLH,0,71.0,31.87,2.0,68.0,40.04,2.0,10.0,45.0,36.0,2026-08-02 17:00:00,31.87,ISPU-langsung,211,195,21100195,2026-08-02 17:05:51
KABUPATEN_NABIRE,Kabupaten Nabire,Kabupaten Nabire,Papua Tengah,Papua,2026-08-03 02:00:00,WIT,-3.363349914550781,135.50100708007812,KLH/BPLH,0,,,,,,3.0,0.0,13.0,,2026-08-02 17:00:00,,kosong,971,183,97100183,2026-08-02 17:05:51
KABUPATEN_NAGAN_RAYA,Kabupaten Nagan Raya,Kabupaten Nagan Raya,Aceh,Sumatera,2026-08-03 00:00:00,WIB,4.082280158996582,96.16840362548828,KLH/BPLH,0,2.0,0.53,1.0,1.0,0.62,13.0,14.0,9.0,81.0,2026-08-02 17:00:00,0.53,ISPU-langsung,27,361,2700361,2026-08-02 17:05:51
KABUPATEN_OGAN_ILIR,Kabupaten Ogan Ilir,Kabupaten Ogan Ilir,Sumatera Selatan,Suamtera,2026-08-03 00:00:00,WIB,-3.255729913711548,104.64700317382812,KLH/BPLH,0,84.0,41.91,2.0,68.0,40.53,100.0,11.0,4.0,109.0,2026-08-02 17:00:00,41.91,ISPU-langsung,230,185,23000185,2026-08-02 17:05:51
KABUPATEN_PADANG_PARIAMAN,Kabupaten Padang Pariaman,Kabupaten Padang Pariaman,Sumatera Barat,Sumatera,2026-08-03 00:00:00,WIB,-0.6204630136489868,100.3040008544922,KLH/BPLH,0,5.0,1.62,1.0,5.0,2.2,92.0,15.0,152.0,,2026-08-02 17:00:00,1.62,ISPU-langsung,126,249,12600249,2026-08-02 17:05:51
KABUPATEN_PALI,Kabupaten Penukal Abab Lematang Ilir,Kabupaten Abab Lematang Ilir,Sumatera Selatan,Sumatera,2026-08-03 00:00:00,WIB,-3.315010070800781,103.88200378417967,KLH/BPLH,0,,,,,,44.0,7.0,4.0,108.0,2026-08-02 17:00:00,,kosong,212,184,21200184,2026-08-02 17:05:51
KABUPATEN_PASURUAN,Kabupaten Pasuruan Raci,Kabupaten Pasuruan,Jawa Timur,Jawa,2026-08-03 00:00:00,WIB,-7.610300064086914,112.83000183105467,KLH/BPLH,0,38.0,11.37,1.0,52.0,23.39,10.0,16.0,24.0,18.0,2026-08-02 17:00:00,11.37,ISPU-langsung,427,81,42700081,2026-08-02 17:05:51
KABUPATEN_PELALAWAN,Kabupaten Pelalawan ,Kabupaten Pelalawan,Riau,Sumatera,2026-08-03 00:00:00,WIB,0.3836030066013336,101.83899688720705,KLH/BPLH,0,92.0,48.31,2.0,103.0,78.4,37.0,,9.0,90.0,2026-08-02 17:00:00,48.31,ISPU-langsung,163,273,16300273,2026-08-02 17:05:51
KABUPATEN_PURWAKARTA,Kabupaten Purwakarta Purnawarman,Kabupaten Purwakarta,Jawa Barat,Jawa,2026-08-03 00:00:00,WIB,-6.564449787139893,107.4459991455078,KLH/BPLH,0,53.0,17.79,2.0,52.0,22.62,11.0,6.0,20.0,18.0,2026-08-02 17:00:00,17.79,ISPU-langsung,298,106,29800106,2026-08-02 17:05:51
KABUPATEN_REMBANG,Kabupaten Rembang Leteh,Kabupaten Rembang,Jawa Tengah,Jawa,2026-08-03 00:00:00,WIB,-6.717229843139648,111.34400177001952,KLH/BPLH,0,30.0,8.87,1.0,27.0,11.38,13.0,7.0,43.0,66.0,2026-08-02 17:00:00,8.87,ISPU-langsung,391,102,39100102,2026-08-02 17:05:51
KABUPATEN_SAMBAS,Kabupaten Sambas Dalam Kaum,Kabupaten Sambas,Kalimantan Barat,Kalimantan,2026-08-03 00:00:00,WIB,1.3610999584197998,109.3290023803711,KLH/BPLH,0,23.0,7.03,1.0,25.0,10.39,2.0,15.0,50.0,34.0,2026-08-02 17:00:00,7.03,ISPU-langsung,343,296,34300296,2026-08-02 17:05:51
KABUPATEN_SEKADAU,Kabupaten Sekadau Sekadau Hilir,Kabupaten Sekadau,Kalimantan Barat,Kalimantan,2026-08-03 00:00:00,WIB,0.0053690001368522,110.89099884033205,KLH/BPLH,0,56.0,19.88,2.0,63.0,34.81,1.0,8.0,34.0,46.0,2026-08-02 17:00:00,19.88,ISPU-langsung,380,264,38000264,2026-08-02 17:05:51
KABUPATEN_SEMARANG,Kabupaten Semarang Candirejo,Semarang,Jawa Tengah,Jawa,2026-08-03 00:00:00,WIB,-7.148530006408691,110.40699768066406,KLH/BPLH,0,10.0,2.91,1.0,8.0,3.4,30.0,10.0,32.0,70.0,2026-08-02 17:00:00,2.91,ISPU-langsung,369,92,36900092,2026-08-02 17:05:51
KABUPATEN_SERANG,Kabupaten Serang Binuang,Serang,Banten,Jawa,2026-08-03 00:00:00,WIB,-6.11745023727417,106.33599853515624,KLH/BPLH,0,0.0,0.01,1.0,0.0,0.01,30.0,0.0,0.0,0.0,2026-08-02 17:00:00,0.01,ISPU-langsung,271,117,27100117,2026-08-02 17:05:51
KABUPATEN_SIAK,Siak,Siak,Riau,Sumatera,2026-08-03 00:00:00,WIB,0.8004040122032166,102.052001953125,INTEGRASI,0,56.0,19.56,2.0,61.0,33.02,38.0,42.0,100.0,59.0,2026-08-02 17:00:00,19.56,ISPU-langsung,168,283,16800283,2026-08-02 17:05:51
KABUPATEN_SIAK_BUNGARAYA,Kabupaten Siak Bunga Raya,Kabupaten Siak,Riau,Sumatera,2026-08-03 00:00:00,WIB,0.961001992225647,102.072998046875,KLH/BPLH,0,82.0,40.47,2.0,74.0,47.09,5.0,0.0,29.0,11.0,2026-08-02 17:00:00,40.47,ISPU-langsung,169,287,16900287,2026-08-02 17:05:51
KABUPATEN_SINTANG,Kabupaten Sintang Baning Kota,Kabupaten Sintang,Kalimantan Barat,Kalimantan,2026-08-03 00:00:00,WIB,0.0631719976663589,111.49700164794922,KLH/BPLH,0,55.0,19.11,2.0,58.0,30.13,1.0,11.0,41.0,37.0,2026-08-02 17:00:00,19.11,ISPU-langsung,395,265,39500265,2026-08-02 17:05:51
KABUPATEN_SRAGEN,Kabupaten Sragen Plumbungan,Kabupaten Sragen,Jawa Tengah,Jawa,2026-08-03 00:00:00,WIB,-7.446559906005859,111.03600311279295,KLH/BPLH,0,21.0,6.18,1.0,18.0,7.76,15.0,5.0,44.0,45.0,2026-08-02 17:00:00,6.18,ISPU-langsung,384,85,38400085,2026-08-02 17:05:51
KABUPATEN_SUKABUMI,Kabupaten Sukabumi Pelabuhanratu,Kabupaten Sukabumi,Jawa Barat,Jawa,2026-08-03 00:00:00,WIB,-6.992879867553711,106.55899810791016,KLH/BPLH,0,0.0,0.03,1.0,0.0,0.03,11.0,5.0,45.0,,2026-08-02 17:00:00,0.03,ISPU-langsung,276,96,27600096,2026-08-02 17:05:51
KABUPATEN_SUMBA_TIMUR,Kabupaten Sumba Timur Kota Waingapu,Kabupaten Sumba Timur,Nusa Tenggara Timur,BALI DAN NUSA TENGGARA,2026-08-03 01:00:00,WITA,-9.675189971923828,120.22899627685548,KLH/BPLH,0,,,,,,48.0,11.0,19.0,40.0,2026-08-02 17:00:00,,kosong,604,31,60400031,2026-08-02 17:05:51
KABUPATEN_TANGERANG,Kabupaten Tangerang Tigaraksa,Tangerang,Banten,Jawa,2026-08-03 00:00:00,WIB,-6.269869804382324,106.48400115966795,INTEGRASI,0,88.0,45.75,2.0,99.0,73.4,86.0,18.0,7.0,70.0,2026-08-02 17:00:00,45.75,ISPU-langsung,275,113,27500113,2026-08-02 17:05:51
KABUPATEN_TANGERANGBR,Kabupaten Tangerang Balaraja,Kabupaten Tangerang,Banten,Jawa,2026-08-03 00:00:00,WIB,-6.191349983215332,106.46600341796876,INTEGRASI,0,1.0,0.32,1.0,1.0,0.4,,14.0,34.0,66.0,2026-08-02 17:00:00,0.32,ISPU-langsung,274,115,27400115,2026-08-02 17:05:51
KABUPATEN_TASIKMALAYA,Kabupaten Tasikmalaya Mangun Reja,Kabupaten Tasikmalaya,Jawa Barat,Jawa,2026-08-03 00:00:00,WIB,-7.369130134582519,108.11299896240234,KLH/BPLH,0,0.0,0.01,1.0,0.0,0.01,2.0,8.0,2.0,14.0,2026-08-02 17:00:00,0.01,ISPU-langsung,314,87,31400087,2026-08-02 17:05:51
